iter	RMSE
0	1648.769501
1	1602.455413
2	1558.11325
3	1516.761557
4	1480.334363
5	1446.077838
6	1414.914239
7	1384.003494
8	1355.919142
9	1330.39482
10	1310.398874
11	1288.008107
12	1269.045629
13	1250.202529
14	1233.844374
15	1217.988717
16	1204.37344
17	1191.460945
18	1179.762434
19	1169.76849
20	1159.437029
21	1150.086355
22	1142.315592
23	1134.701887
24	1128.070671
25	1121.779753
26	1116.400986
27	1110.979457
28	1106.104728
29	1102.132897
30	1098.129101
31	1095.434244
32	1092.008379
33	1088.998224
34	1086.062617
35	1083.447091
36	1081.174672
37	1079.08771
38	1077.070639
39	1075.084674
40	1073.569089
41	1071.868122
42	1070.382876
43	1068.821663
44	1067.97157
45	1066.555616
46	1065.498227
47	1064.533007
48	1063.563074
49	1063.001162
50	1061.942856
51	1061.418904
52	1060.474139
53	1059.650576
54	1059.137784
55	1058.494964
56	1057.819267
57	1057.19007
58	1056.641713
59	1056.130469
60	1055.957638
61	1055.537579
62	1054.878402
63	1054.275706
64	1053.804621
65	1053.386566
66	1052.93866
67	1052.222822
68	1051.578717
69	1051.150973
70	1050.974947
71	1050.168121
72	1049.875928
73	1049.458259
74	1049.083881
75	1048.863569
76	1048.574125
77	1048.193932
78	1047.800358
79	1047.312704
80	1046.753942
81	1045.851589
82	1045.335404
83	1044.832511
84	1044.147938
85	1043.68606
86	1043.484417
87	1043.172157
88	1042.560284
89	1042.280422
90	1041.437319
91	1041.246114
92	1040.783889
93	1040.436386
94	1040.141475
95	1039.789261
96	1039.516896
97	1039.474512
98	1039.316048
99	1038.47707
100	1038.165611
101	1037.621494
102	1037.269633
103	1036.868283
104	1036.484899
105	1036.056964
106	1035.611121
107	1035.107655
108	1034.787044
109	1034.40086
110	1033.978982
111	1033.492335
112	1033.269573
113	1032.778741
114	1032.449863
115	1031.961688
116	1031.267801
117	1030.971563
118	1030.649889
119	1030.353773
120	1030.183021
121	1029.907937
122	1029.678934
123	1029.50833
124	1029.436923
125	1029.293824
126	1028.990752
127	1028.708588
128	1028.376094
129	1027.783423
130	1027.377616
131	1026.899289
132	1026.667225
133	1026.29892
134	1025.988655
135	1025.589669
136	1025.185481
137	1024.905209
138	1024.537709
139	1024.238323
140	1023.787842
141	1023.160594
142	1022.571251
143	1022.147681
144	1021.874396
145	1021.360199
146	1020.977583
147	1020.667062
148	1020.300032
149	1019.875697
150	1019.509855
151	1019.187411
152	1019.025982
153	1018.452887
154	1017.863905
155	1017.560383
156	1017.02759
157	1016.392377
158	1015.805498
159	1014.978362
160	1014.508934
161	1014.218208
162	1013.841085
163	1013.313141
164	1013.11884
165	1012.824809
166	1012.5486
167	1011.885617
168	1011.678332
169	1011.306156
170	1010.968784
171	1010.48409
172	1009.83197
173	1009.605135
174	1008.842469
175	1008.339657
176	1008.120014
177	1007.734613
178	1007.483509
179	1007.144637
180	1006.795198
181	1006.447828
182	1006.207186
183	1005.806424
184	1005.550244
185	1005.314635
186	1004.876986
187	1004.617918
188	1004.281942
189	1004.062647
190	1003.753172
191	1003.410824
192	1003.113948
